Date,Name,Year,Letterboxd URI
2024-01-23,The Prestige,2006,https://boxd.it/293w
2024-01-23,Catch Me If You Can,2002,https://boxd.it/29VS
2025-04-28,Moneyball,2011,https://boxd.it/glS
2025-04-28,Margin Call,2011,https://boxd.it/CJ8
2025-04-28,Good Will Hunting,1997,https://boxd.it/2ahY
2025-07-03,After Hours,1985,https://boxd.it/1VfS
2025-07-03,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-07-03,The Return of the Living Dead,1985,https://boxd.it/1V3W
2025-07-03,It Follows,2014,https://boxd.it/87wo
2025-07-03,The Departed,2006,https://boxd.it/28MA
2025-07-03,Uncut Gems,2019,https://boxd.it/gXGc
2025-07-03,Oppenheimer,2023,https://boxd.it/wUow
2025-07-03,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2025-07-03,The Big Short,2015,https://boxd.it/ajZw
2025-07-03,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-07-03,Se7en,1995,https://boxd.it/29zs
2025-07-08,The Changeling,1980,https://boxd.it/1PVy
2025-07-13,Trading Places,1983,https://boxd.it/28sK
2025-07-13,The Devil All the Time,2020,https://boxd.it/i2tY
2025-07-15,Fight Club,1999,https://boxd.it/2a9q
2025-07-23,Blue Velvet,1986,https://boxd.it/29BI
2025-07-23,12 Angry Men,1957,https://boxd.it/2auI
2025-08-02,28 Years Later,2025,https://boxd.it/FEGM
2025-08-02,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM
2025-08-06,Y Tu Mamá También,2001,https://boxd.it/28QM
2025-08-06,Creep 2,2017,https://boxd.it/dSEO
2025-08-06,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-08-06,The Godfather,1972,https://boxd.it/2aNK
2025-08-06,The Exorcist,1973,https://boxd.it/1Yoo
2025-08-06,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-08-06,Forrest Gump,1994,https://boxd.it/728
2025-08-06,The Usual Suspects,1995,https://boxd.it/29XE
2025-08-06,Saving Private Ryan,1998,https://boxd.it/29ro
2025-08-06,Eyes Wide Shut,1999,https://boxd.it/2axs
2025-08-06,American Psycho,2000,https://boxd.it/28Vs
2025-08-06,Minority Report,2002,https://boxd.it/2aWi
2025-08-06,Bruce Almighty,2003,https://boxd.it/2aCC
2025-08-06,Howl's Moving Castle,2004,https://boxd.it/23De
2025-08-06,Mr. & Mrs. Smith,2005,https://boxd.it/29CG
2025-08-06,Pride & Prejudice,2005,https://boxd.it/24u8
2025-08-06,Zodiac,2007,https://boxd.it/27MO
2025-08-06,The Dark Knight,2008,https://boxd.it/2b0k
2025-08-06,The King's Speech,2010,https://boxd.it/dX0
2025-08-06,Argo,2012,https://boxd.it/2czU
2025-08-06,Eega,2012,https://boxd.it/4HhQ
2025-08-06,Weiner,2016,https://boxd.it/d4N2
2025-08-06,Eighth Grade,2018,https://boxd.it/hDMG
2025-08-06,Monsters vs Aliens,2009,https://boxd.it/1M50
2025-08-06,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2025-08-06,I Saw the TV Glow,2024,https://boxd.it/woVe
2025-08-06,The Mask,1994,https://boxd.it/29rS
2025-08-06,The Outsiders,1983,https://boxd.it/2aPw
2025-08-06,There Will Be Blood,2007,https://boxd.it/20Z2
2025-08-06,Her,2013,https://boxd.it/4O24
2025-08-06,Women Talking,2022,https://boxd.it/tdq4
2025-08-06,It's a Wonderful Life,1946,https://boxd.it/28xA
2025-08-06,Batman Begins,2005,https://boxd.it/2aIg
2025-08-06,RRR,2022,https://boxd.it/ljDs
2025-08-07,Slave Girls from Beyond Infinity,1987,https://boxd.it/1rKw
2025-08-08,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2025-08-08,War of the Worlds,2025,https://boxd.it/so0a
2025-08-08,Passengers,2016,https://boxd.it/8lFu
2025-08-08,First Man,2018,https://boxd.it/cPym
2025-08-08,American Sniper,2014,https://boxd.it/5LDy
2025-08-15,Looper,2012,https://boxd.it/ham
2025-08-15,Capote,2005,https://boxd.it/2atq
2025-08-16,The Taking of Pelham One Two Three,1974,https://boxd.it/20lG
2025-08-19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-08-20,Dead Ringers,1988,https://boxd.it/1Yqk
2025-08-22,Suspicion,1941,https://boxd.it/1TNo
2025-09-14,An American Werewolf in London,1981,https://boxd.it/29yk
2025-10-19,A Quiet Place,2018,https://boxd.it/fVJQ
2025-12-05,The Death of Stalin,2017,https://boxd.it/ea9Y
2025-12-26,Burn After Reading,2008,https://boxd.it/23BW
2025-12-27,eXistenZ,1999,https://boxd.it/27Ni
2025-12-29,Mysterious Skin,2004,https://boxd.it/1UsG
2026-01-02,964 Pinocchio,1991,https://boxd.it/EhA
2026-01-04,Wake Up Dead Man,2025,https://boxd.it/uAKS
2026-01-10,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2026-01-10,The Apartment,1960,https://boxd.it/2aGE
2026-01-11,A Fistful of Dollars,1964,https://boxd.it/2auo
2026-01-25,The Zone of Interest,2023,https://boxd.it/gJsA
2026-01-25,Limitless,2011,https://boxd.it/Aly
2026-01-26,Chafed Elbows,1967,https://boxd.it/3IK8
2026-01-28,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy
2026-01-29,Paths of Glory,1957,https://boxd.it/29b6
2026-01-30,Primer,2004,https://boxd.it/6YA
2026-01-31,Donnie Darko,2001,https://boxd.it/2b2A
2026-02-01,Whiplash,2014,https://boxd.it/7bQA
2026-02-02,The Apprentice,2024,https://boxd.it/IPqG
2026-02-03,One Battle After Another,2025,https://boxd.it/DUHM
2026-02-08,Eddington,2025,https://boxd.it/o6MC
2026-02-19,Do the Right Thing,1989,https://boxd.it/29gA
2026-02-20,Life of Brian,1979,https://boxd.it/2a4q
2026-02-20,Heat,1995,https://boxd.it/2bg8
2026-02-21,Bugonia,2025,https://boxd.it/qeWY
2026-02-21,They Live,1988,https://boxd.it/20lm
2026-02-21,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A
2026-02-23,Woman of the Hour,2023,https://boxd.it/vuz2
2026-02-25,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2026-02-26,Boogie Nights,1997,https://boxd.it/23um
2026-03-01,Sinners,2025,https://boxd.it/KQMM
2026-03-02,Suspiria,1977,https://boxd.it/1SNW
2026-03-09,Hannah and Her Sisters,1986,https://boxd.it/23jy
2026-03-10,24 Hour Party People,2002,https://boxd.it/26nI
2026-03-12,Witness for the Prosecution,1957,https://boxd.it/18H4
2026-03-13,Fargo,1996,https://boxd.it/2aHM
2026-03-13,War Dogs,2016,https://boxd.it/9SlO
2026-03-14,Analyze This,1999,https://boxd.it/1Yr8
2026-03-14,The Thomas Crown Affair,1968,https://boxd.it/29iw
2026-03-14,Coherence,2013,https://boxd.it/6xza
2026-03-15,The Untouchables,1987,https://boxd.it/2b6i
2026-03-15,Conclave,2024,https://boxd.it/AO8q
2026-03-17,Death Proof,2007,https://boxd.it/27GG
2026-03-17,Triangle,2009,https://boxd.it/1tQG
2026-03-18,Rear Window,1954,https://boxd.it/2a6Q
2026-03-19,Network,1976,https://boxd.it/1VqG
2026-03-20,All the President's Men,1976,https://boxd.it/29lU
2026-03-21,Dog Day Afternoon,1975,https://boxd.it/29bg
2026-03-21,Nirvanna the Band the Show the Movie,2025,https://boxd.it/HG9a
2026-03-22,Marty Supreme,2025,https://boxd.it/Off0
2026-03-23,Shutter Island,2010,https://boxd.it/1U82
2026-03-25,Arrival,2016,https://boxd.it/aNGk
2026-03-26,Jurassic Park,1993,https://boxd.it/2aA2
2026-03-27,The Long Goodbye,1973,https://boxd.it/281O
2026-03-27,Safety Not Guaranteed,2012,https://boxd.it/2Y3M
2026-03-28,The Talented Mr. Ripley,1999,https://boxd.it/2924
2026-03-30,Persona,1966,https://boxd.it/29B4
2026-03-30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2026-03-31,Annie Hall,1977,https://boxd.it/29M2
2026-04-03,To Live and Die in L.A.,1985,https://boxd.it/1XFo
2026-04-04,The Master,2012,https://boxd.it/2cBG
2026-04-06,For a Few Dollars More,1965,https://boxd.it/29eu
2026-04-06,The Graduate,1967,https://boxd.it/18Im
2026-04-07,Enemy,2013,https://boxd.it/5xtO
2026-04-08,The Decline of the American Empire,1986,https://boxd.it/1GQE
2026-04-10,The Devil Wears Prada,2006,https://boxd.it/2awE
2026-04-10,i hate myself :),2013,https://boxd.it/6T9y
2026-04-12,Parasite,2019,https://boxd.it/hTha
2026-04-13,The Barefoot Contessa,1954,https://boxd.it/1dsy
2026-04-17,Rope,1948,https://boxd.it/28yo
2026-04-23,BlackBerry,2023,https://boxd.it/CoVK
2026-04-25,El Topo,1970,https://boxd.it/1QYS
2026-04-28,Mulholland Drive,2001,https://boxd.it/297o
2026-04-29,Hard Eight,1996,https://boxd.it/20DU
2026-04-30,Hell or High Water,2016,https://boxd.it/bfGM
2026-05-01,"Night Is Short, Walk On Girl",2017,https://boxd.it/ffwA
2026-05-07,Moon,2009,https://boxd.it/1IGQ
2026-05-08,Carnal Knowledge,1971,https://boxd.it/1au2
2026-05-09,Sicario,2015,https://boxd.it/8i7u
2026-05-10,The Holcroft Covenant,1985,https://boxd.it/1cCs
2026-05-10,Ocean's Eleven,2001,https://boxd.it/2aZm
2026-05-21,Taxi Driver,1976,https://boxd.it/2b8y
2026-05-25,Cool Hand Luke,1967,https://boxd.it/29jY
2026-05-30,American Hustle,2013,https://boxd.it/5dz8
2026-06-01,Body Double,1984,https://boxd.it/1TGW
2026-06-07,Before Sunrise,1995,https://boxd.it/2bcU
2026-06-14,What Ever Happened to Baby Jane?,1962,https://boxd.it/1WJE
2026-06-15,Training Day,2001,https://boxd.it/27A4
2026-06-17,Before Sunset,2004,https://boxd.it/2bcg
2026-06-17,Edge of Tomorrow,2014,https://boxd.it/4pD0
2026-06-20,The Night of the Hunter,1955,https://boxd.it/25HW
2026-06-21,Spree,2020,https://boxd.it/oiiO
2026-06-23,Kung Fu Hustle,2004,https://boxd.it/1YBi
2026-06-24,The Purple Rose of Cairo,1985,https://boxd.it/1VeU
2026-06-25,The Shrouds,2024,https://boxd.it/AEZa
2026-06-26,The Bourne Identity,2002,https://boxd.it/26EO
2026-06-29,Children of the Corn,1984,https://boxd.it/1ViW
2026-06-30,Cloverfield,2008,https://boxd.it/2192
2026-07-01,The Babadook,2014,https://boxd.it/77xu
2026-07-02,Being John Malkovich,1999,https://boxd.it/2ahu
2026-07-03,Notorious,1946,https://boxd.it/2aDK
2026-07-03,The Center of the World,2001,https://boxd.it/1gT8
2026-07-04,Midnight Cowboy,1969,https://boxd.it/25Hi
2026-07-05,Crimes of the Future,2022,https://boxd.it/uTuY
2026-07-06,The Town,2010,https://boxd.it/1zyS
2026-07-06,Vicky Cristina Barcelona,2008,https://boxd.it/23rW
2026-07-08,The Shining,1980,https://boxd.it/29Nu
